GCF_002058765.1	Esch_coli_DSM_103246
GCF_001693315.1	Esch_coli_UPEC_26-1
GCF_005221865.1	Esch_coli_116
GCF_003591595.1	Esch_coli_ATCC_8739
GCF_000019385.1	Esch_coli_ATCC_8739
GCF_900174635.1	Esch_coli_WI2_isolate
GCF_001651965.2	Esch_coli_FRIK2455
GCF_001280345.1	Esch_coli_SF-468
GCF_005037715.1	Esch_coli_FWSEC0006
GCF_002983645.1	Esch_coli_FDAARGOS_349
GCF_003966445.1	Esch_coli_E2863
GCF_000257275.1	Esch_coli_P12b
GCF_005221885.1	Esch_coli_143
GCF_001618325.1	Esch_coli_Ecol_743
GCF_003308955.1	Esch_coli_2017C-4109
GCF_002741455.1	Esch_coli_90-9281
GCF_003018535.1	Esch_coli_2013C-4081
GCF_005222265.1	Esch_coli_114
GCF_004141955.1	Esch_coli_U12A
GCF_900520365.1	Esch_coli_str_TO217
GCF_002741215.1	Esch_coli_90-9272
GCF_005221745.1	Esch_coli_130
GCF_900636115.1	Esch_coli_NCTC9102
GCF_003288415.1	Esch_coli_AR_452
GCF_001735705.1	Esch_coli_210221272
GCF_900520305.1	Esch_coli_str_TO73
GCF_005222025.1	Esch_coli_121
GCF_004804185.1	Esch_coli_377323_2f
GCF_000732965.1	Esch_coli_EDL933
GCF_004135775.1	Esch_coli_CRE1
GCF_005954725.1	Esch_coli_S17-1
GCF_900497475.1	Esch_coli_EC-12536
GCF_001901405.1	Esch_coli_S50
GCF_004295365.1	Esch_coli_WCHEC025970
GCF_001901025.1	Esch_coli_M1
GCF_003856995.1	Esch_coli_SA186
GCF_000258145.1	Esch_coli_W
GCF_000184185.1	Esch_coli_W
GCF_002761835.1	Esch_coli_WG5
GCF_001308165.1	Esch_coli_K-12_substr_MG1655_TMP32XR2
GCF_900622695.1	Esch_coli_MS14384
GCF_003018355.1	Esch_coli_00-3076
GCF_003018255.1	Esch_coli_2012C-4502
GCF_003019235.1	Esch_coli_2015C-3125
GCF_004010675.1	Esch_coli_2010C-3347
GCF_004010655.1	Esch_coli_2009C-4687
GCF_002056145.1	Esch_coli_AR_0069
GCF_002855415.1	Esch_coli_14EC007
GCF_002853655.1	Esch_coli_14EC017
GCF_003018035.1	Esch_coli_2015C-4944
GCF_003991155.1	Esch_coli_EC17GD31
GCF_003019115.1	Esch_coli_07-4299
GCF_000974465.1	Esch_coli_ER3440
GCF_004801575.1	Esch_coli_PigCaeca_1
GCF_002900305.1	Esch_coli_BH100N_substr_MG2017
GCF_002156845.1	Esch_coli_95NR1
GCF_002879975.1	Esch_coli_ML35
GCF_001901185.1	Esch_coli_M18
GCF_000801165.1	Esch_coli_RM9387
GCF_001901425.1	Esch_coli_C7
GCF_004135855.1	Esch_coli_FORC_082
GCF_001890285.1	Esch_coli_9000
GCF_900636305.1	Esch_coli_NCTC10537
GCF_003956285.1	Esch_coli_503829
GCF_900635145.1	Esch_coli_NCTC9066
GCF_003111785.1	Esch_coli_H9Ecoli
GCF_002952995.1	Esch_coli_9A
GCF_003112165.1	Esch_coli_RM8385
GCF_001651945.2	Esch_coli_FRIK2533
GCF_002855325.1	Esch_coli_14EC001
GCF_003966425.1	Esch_coli_E2855
GCF_004301465.1	Esch_coli_L725
GCF_000520035.1	Esch_coli_RM13514
